Filename,seq,seq_id,Label,part,word,sentence,before,after,dur_mod,seg_Start,seg_End,pF0_mean,pF0_means001,pF0_means002,pF0_means003,pF0_means004,pF0_means005,pF1_mean,pF1_means001,pF1_means002,pF1_means003,pF1_means004,pF1_means005,pF2_mean,pF2_means001,pF2_means002,pF2_means003,pF2_means004,pF2_means005,pF3_mean,pF3_means001,pF3_means002,pF3_means003,pF3_means004,pF3_means005,dur,issue
karuk-2011-01-29-vs-1_22.mat,uupu,15,UH0,V2,utapkuuputih,vaa pananipusihich utapkuuputih,P,T,73.60299999999961,2968.0640000000003,3041.667,110.104,196.43400000000003,126.744,74.348,73.62100000000001,74.083,462.634,406.097,466.30400000000003,487.25199999999995,489.42900000000003,468.423,1045.74,910.378,961.062,1086.06,1120.83,1153.5710000000001,2051.604,2267.476,2188.235,1934.3239999999998,1778.668,2048.054,73.60299999999961,none
karuk-2011-01-30-vs-1_28.mat,ikii,16,IH0,V1,ikiich,ikiich vura ipishriivpeesh pataay iqaamtih,sil,K,105.96799999999996,779.184,885.1519999999999,147.834,147.834,132.325,147.464,159.707,159.707,309.382,298.228,339.952,316.222,284.551,307.846,2075.197,1973.4229999999998,1932.276,2127.042,2160.845,2193.327,3006.385,3138.323,2476.515,3199.1259999999997,3032.405,3180.725,105.96799999999996,none
karuk-2011-01-30-vs-1_28.mat,ikii,16,K,C,ikiich,ikiich vura ipishriivpeesh pataay iqaamtih,IH0,IY1,127.59199999999998,885.1519999999999,1012.7439999999999,202.514,202.514,202.514,202.514,202.514,202.514,423.171,331.542,326.464,352.217,501.42199999999997,608.534,2031.3039999999999,2135.496,1968.266,1988.9470000000001,2042.777,2026.2079999999999,2833.915,3030.7709999999997,2759.679,2705.8540000000003,2807.192,2870.991,127.59199999999998,none
karuk-2011-01-30-vs-1_28.mat,ikii,16,IY1,V2,ikiich,ikiich vura ipishriivpeesh pataay iqaamtih,K,CH,131.28900000000021,1012.7439999999999,1144.0330000000001,169.803,193.606,181.236,167.79,154.375,151.878,283.057,245.87400000000002,314.546,295.221,278.091,281.899,2056.175,2025.8529999999998,2075.61,2075.304,2056.981,2045.1779999999999,2841.712,2921.159,2894.5359999999996,2733.975,2843.9570000000003,2816.861,131.28900000000021,none
karuk-2011-12-21-vs-3_07.mat,iki,17,IH0,V1,nayikihitih,naa vura nayikihitih,Y,K,82.80199999999991,1416.276,1499.078,168.582,159.537,165.726,171.078,173.98,172.959,319.41,337.045,336.102,336.01599999999996,319.57,267.123,2097.7329999999997,2002.4560000000001,2049.63,2088.357,2137.4970000000003,2212.887,2655.219,2641.563,2754.031,2603.37,2608.395,2677.7290000000003,82.80199999999991,none
karuk-2011-12-21-vs-3_07.mat,iki,17,K,C,nayikihitih,naa vura nayikihitih,IH0,IH0,194.42499999999995,1499.078,1693.503,79.755,115.052,48.335,48.335,50.318999999999996,50.545,881.715,350.954,778.0,1192.621,1106.802,992.3510000000001,2277.416,2037.4479999999999,2206.847,2430.913,2338.59,2365.5389999999998,3232.9359999999997,2755.656,3402.135,3424.822,3102.528,3477.1240000000003,194.42499999999995,none
karuk-2011-12-21-vs-3_07.mat,iki,17,IH0,V2,nayikihitih,naa vura nayikihitih,K,HH,37.59400000000028,1693.503,1731.0970000000002,57.455,59.129,58.965,57.777,56.79,55.637,285.185,251.111,289.343,290.959,305.652,289.505,2128.471,1870.385,2172.7529999999997,2188.755,2198.262,2226.636,3373.578,3256.2509999999997,3470.865,3466.3320000000003,3382.678,3316.607,37.59400000000028,none
karuk-2011-12-21-vs-3_08.mat,iki,18,IH0,V1,iyikihitih,iim hum iyikihitih,Y,K,83.44399999999996,1642.991,1726.435,188.446,172.165,183.74900000000002,193.519,196.33700000000002,197.024,259.93,294.857,273.885,254.324,236.43099999999998,238.96599999999998,2243.9139999999998,2158.637,2206.599,2198.894,2215.051,2449.798,3038.34,3392.224,3625.4109999999996,2911.407,2709.901,2536.371,83.44399999999996,none
karuk-2011-12-21-vs-3_08.mat,iki,18,K,C,iyikihitih,iim hum iyikihitih,IH0,IH0,145.91700000000014,1726.435,1872.352,299.10200000000003,195.062,195.062,195.062,195.062,432.041,832.5830000000001,542.9209999999999,887.278,1032.272,748.8760000000001,968.102,2421.804,2616.13,2237.3520000000003,2478.658,2105.548,2656.905,3497.5690000000004,3358.9570000000003,3425.535,3907.164,3212.304,3553.37,145.91700000000014,none
karuk-2011-12-21-vs-3_08.mat,iki,18,IH0,V2,iyikihitih,iim hum iyikihitih,K,HH,58.90000000000009,1872.352,1931.2520000000002,142.558,142.558,147.129,142.607,140.91899999999998,141.153,290.568,251.188,296.416,295.067,300.879,311.27099999999996,2205.093,2223.538,2204.519,2220.256,2198.354,2177.884,2669.0570000000002,2967.224,2735.3909999999996,2620.425,2568.5,2429.371,58.90000000000009,none
