audio,transcription,transcription_mfa,speaker,matched_words,sequences,issues
karuk-2012-10-20-vs-4_A_35,purafaat vura.,purafaat vura,VS,purafaat,pu,none
karuk-2012-10-20-vs-4_A_36,purafaat vura nikupaveenatih.,purafaat vura nikupaveenatih,VS,purafaat,pu,none
karuk-2012-10-20-vs-4_A_45,pusihich ithvuuyti hum?,pusihich ithvuuyti hum,VS,pusihich,pu,none
karuk-2012-10-20-vs-4_A_48,huut kich pamitaat?,huut kich pamitaat,VS,kich,ki,none
karuk-2012-10-20-vs-4_A_49,huut kich pami'akah?,huut kich pamiqakah,VS,kich,ki,none
karuk-2012-10-20-vs-4_B_13,puuhara.,puuhara,VS,puuhara,puu,none
karuk-2012-10-20-vs-4_B_29,puna'aapunmutihara.,punaqaapunmutihara,VS,punaqaapunmutihara,pu,none
karuk-2012-10-20-vs-4_B_32,pay kich kukuum nipeesh.,pay kich kukuum nipeesh,VS,kich,ki,none
karuk-2012-10-20-vs-4_B_34,pay kich piipi.,pay kich piipi,VS,kich,ki,none
karuk-2012-10-20-vs-4_C_02,puun nivishtaantih.,puun nivishtaantih,VS,puun,puu,none
karuk-2012-10-20-vs-4_C_03,ikiich tee xuriha.,ikiich tee xuriha,VS,xuriha,xu,none
karuk-2012-10-20-vs-4_C_06,putiruh karu ni'aveesh.,putiruh karu niqaveesh,VS,putiruh,pu,none
karuk-2012-10-20-vs-4_C_16,punaxurihitihara.,punaxurihitihara,VS,punaxurihitihara,pu,none
karuk-2012-10-20-vs-4_C_41,chimi kiivyiihfuruk.,chimi kiivyiihfuruk,VS,kiivyiihfuruk,kii,none
karuk-2012-10-20-vs-4_C_44,ahup kiikyav.,ahup kiikyav,VS,kiikyav,kii,none
karuk-2012-10-20-vs-4_C_45,ahup kiikyaavunaa.,ahup kiikyaavunaa,VS,kiikyaavunaa,kii,none
karuk-2012-10-20-vs-4_D_17,chimi koovura aav kiikpaatvi!,chimi koovura aav kiikpaatvi,VS,kiikpaatvi,kii,none
karuk-2012-10-20-vs-4_D_19,koovura kiiptaxatihi!,koovura kiiptaxatihi,VS,kiiptaxatihi,kii,none
karuk-2012-10-20-vs-4_D_21,koovura pamikunvu kiikpithxahi!,koovura pamikunvu kiikpithxahi,VS,kiikpithxahi,kii,none
karuk-2012-10-20-vs-4_D_25,tee xuriha hum?,tee xuriha hum,VS,xuriha,xu,none
karuk-2012-10-20-vs-4_D_44,iimkun kiikviit-hinaa!,iimkun kiikviithinaa,VS,kiikviithinaa,kii,none
karuk-2012-10-20-vs-4_D_46,kiipyukukuhi!,kiipyukukuhi,VS,kiipyukukuhi,kii,none
karuk-2012-10-20-vs-4_D_47,"kiipyukukuhi pamiyukukuh, Andrew karu Line!",kiipyukukuhi pamiyukukuh Andrew karu Line,VS,kiipyukukuhi,kii,none
karuk-2012-10-20-vs-4_D_48,iimkun kiipiyukukuhsuroo!,iimkun kiipiyukukuhsuroo,VS,kiipiyukukuhsuroo,kii,none
karuk-2012-10-20-vs-4_D_49,kiipiyukukuhsuroo!,kiipiyukukuhsuroo,VS,kiipiyukukuhsuroo,kii,none
karuk-2012-10-20-vs-4_D_50,kiikpishnakarishukva pamikunsaanva!,kiikpishnakarishukva pamikunsaanva,VS,kiikpishnakarishukva,kii,none
karuk-2012-10-20-vs-4_D_52,kiikviit-hinaa!,kiikviithinaa,VS,kiikviithinaa,kii,none
karuk-2013-10-27-vs-2_06,kiiha pachivchakar!,kiiha pachivchakar,VS,kiiha,kii,none
karuk-2015-04-21-vs-5_13,vaa vura uum yiiv xas vaa vura uxuti ikiich punakuniihkeeshara xas vura vaa ukuniihka.,vaa vura uum yiiv xas vaa vura uxuti ikiich punakuniihkeeshara xas vura vaa ukuniihka,VS,punakuniihkeeshara,pu,none
karuk-2015-04-21-vs-5_25,"vaa vura punapipshinvarihvutihara, vaa vura ni'aapunmuti payeem.",vaa vura punapipshinvarihvutihara vaa vura niqaapunmuti payeem,VS,punapipshinvarihvutihara,pu,none
VS-24_04,"vaa, xas vura vaa uum vura uum cheemyaach, karu uum vura vaa pu'aapunmutihara faat uum pawashingmachine.",vaa xas vura vaa uum vura uum cheemyaach karu uum vura vaa puqaapunmutihara faat uum pawashingmachine,VS,puqaapunmutihara,pu,none
VS-24_11,vaa vura ip pa'aapunmuti vaa vura kich vaa kumeekrii.,vaa vura ip paqaapunmuti vaa vura kich vaa kumeekrii,VS,kich,ki,none
VS-24_12,"haa, vaa vura kich i'aapunmuti vaa kumeekrii.",haa vaa vura kich iqaapunmuti vaa kumeekrii,VS,kich,ki,none
karuk-2012-03-30-vs-3_02,iim pufaat mitikakvanaach.,iim pufaat mitikakvanaach,VS,pufaat,pu,none
