Filename,seq,seq_id,part,issue,dur_mod,dur,Label,word,sentence,before,after,V1_dur,C_dur,V2_dur,V2_maxpF2,V2_maxpF2_tpt,V2_minpF2,V2_minpF2_tpt,V2_pF2diff,timepoint,pF2_means,V1,C,V2,V1_qual,V2_qual
karuk-2012-03-31-vs-2b_03.mat,uxi,130,V1,,79.85900000000015,79.85900000000015,UH0,puxich,naa vura puxich neetniivkatih,P,HH,79.85900000000015,67.3209999999999,94.06699999999991,1778.746,16,1284.547,2,494.19900000000007,1,1341.408,u,x,i,u,i
karuk-2012-03-31-vs-2b_03.mat,uxi,130,C,,67.3209999999999,67.3209999999999,HH,puxich,naa vura puxich neetniivkatih,UH0,IH0,79.85900000000015,67.3209999999999,94.06699999999991,1778.746,16,1284.547,2,494.19900000000007,1,1161.9,u,x,i,u,i
karuk-2012-03-31-vs-2b_03.mat,uxi,130,V2,,94.06699999999991,94.06699999999991,IH0,puxich,naa vura puxich neetniivkatih,HH,CH,79.85900000000015,67.3209999999999,94.06699999999991,1778.746,16,1284.547,2,494.19900000000007,1,1341.779,u,x,i,u,i
karuk-2012-03-31-vs-2b_07.mat,uxi,131,V1,,37.348999999999926,37.348999999999926,UH0,puxich,iim vura puxich itniivka,P,HH,37.348999999999926,156.86199999999997,79.16500000000008,1834.567,15,1502.079,1,332.48800000000006,1,953.249,u,x,i,u,i
karuk-2012-03-31-vs-2b_07.mat,uxi,131,C,,156.86199999999997,156.86199999999997,HH,puxich,iim vura puxich itniivka,UH0,IH0,37.348999999999926,156.86199999999997,79.16500000000008,1834.567,15,1502.079,1,332.48800000000006,1,1021.858,u,x,i,u,i
karuk-2012-03-31-vs-2b_07.mat,uxi,131,V2,,79.16500000000008,79.16500000000008,IH0,puxich,iim vura puxich itniivka,HH,CH,37.348999999999926,156.86199999999997,79.16500000000008,1834.567,15,1502.079,1,332.48800000000006,1,1502.079,u,x,i,u,i
karuk-2012-03-31-vs-2b_08.mat,uxi,132,V1,,29.63499999999999,29.63499999999999,UH0,puxich,uum vura puxich itniivka,P,HH,29.63499999999999,91.20700000000001,72.47500000000002,1692.543,15,1202.971,1,489.5719999999999,1,1160.654,u,x,i,u,i
karuk-2012-03-31-vs-2b_08.mat,uxi,132,C,,91.20700000000001,91.20700000000001,HH,puxich,uum vura puxich itniivka,UH0,IH0,29.63499999999999,91.20700000000001,72.47500000000002,1692.543,15,1202.971,1,489.5719999999999,1,1137.351,u,x,i,u,i
karuk-2012-03-31-vs-2b_08.mat,uxi,132,V2,,72.47500000000002,72.47500000000002,IH0,puxich,uum vura puxich itniivka,HH,CH,29.63499999999999,91.20700000000001,72.47500000000002,1692.543,15,1202.971,1,489.5719999999999,1,1202.971,u,x,i,u,i
karuk-2012-03-31-vs-2b_09.mat,uxi,133,V1,V1 absent?,0.0,12.270999999999956,UH0,puxich,uum vura puxich kunixviiphinaatih,P,HH,0.0,107.10600000000001,91.90300000000002,1603.221,16,1215.75,2,387.471,1,2701.2670000000007,u,x,i,u,i
karuk-2012-03-31-vs-2b_09.mat,uxi,133,C,V1 absent?,107.10600000000001,107.10600000000001,HH,puxich,uum vura puxich kunixviiphinaatih,UH0,IH0,0.0,107.10600000000001,91.90300000000002,1603.221,16,1215.75,2,387.471,1,1633.418,u,x,i,u,i
karuk-2012-03-31-vs-2b_09.mat,uxi,133,V2,V1 absent?,91.90300000000002,91.90300000000002,IH0,puxich,uum vura puxich kunixviiphinaatih,HH,CH,0.0,107.10600000000001,91.90300000000002,1603.221,16,1215.75,2,387.471,1,1230.624,u,x,i,u,i
karuk-2012-03-31-vs-2b_10.mat,uxi,134,V1,V1 absent,0.0,32.728000000000065,UH0,puxich,vura puxich yav kunikyaatih,P,HH,0.0,67.96499999999997,61.201999999999934,1720.736,20,1383.76,3,336.9760000000001,1,2175.73,u,x,i,u,i
karuk-2012-03-31-vs-2b_10.mat,uxi,134,C,V1 absent,67.96499999999997,67.96499999999997,HH,puxich,vura puxich yav kunikyaatih,UH0,IH0,0.0,67.96499999999997,61.201999999999934,1720.736,20,1383.76,3,336.9760000000001,1,2822.303,u,x,i,u,i
