,Filename,seq,seq_id,part,issue,dur_mod,dur,Label,timepoint,pF1_means
207,karuk-2011-12-21-vs-3_13.mat,uxi,70,V1,,113.61200000000008,113.61200000000008,UH0,1,439.831
208,karuk-2011-12-21-vs-3_13.mat,uxi,70,C,,291.6499999999998,291.6499999999998,HH,1,422.631
209,karuk-2011-12-21-vs-3_13.mat,uxi,70,V2,,145.7719999999999,145.7719999999999,IH0,1,298.282
210,karuk-2011-12-21-vs-3_15.mat,uxi,71,V1,,48.092000000000105,48.092000000000105,UH0,1,253.722
211,karuk-2011-12-21-vs-3_15.mat,uxi,71,C,,115.86399999999992,115.86399999999992,HH,1,729.0360000000002
212,karuk-2011-12-21-vs-3_15.mat,uxi,71,V2,,81.971,81.971,IH0,1,335.975
213,karuk-2011-12-21-vs-3_21.mat,uxi,72,V1,V1 absent,0.0,30.518000000000033,UH0,1,274.295
214,karuk-2011-12-21-vs-3_21.mat,uxi,72,C,V1 absent,125.985,125.985,HH,1,646.317
215,karuk-2011-12-21-vs-3_21.mat,uxi,72,V2,V1 absent,77.08199999999988,77.08199999999988,IH0,1,299.543
216,karuk-2011-12-21-vs-3_23.mat,iika,73,V1,,217.81499999999997,217.81499999999997,IY1,1,354.523
217,karuk-2011-12-21-vs-3_23.mat,iika,73,C,,135.981,135.981,K,1,336.709
218,karuk-2011-12-21-vs-3_23.mat,iika,73,V2,,99.274,99.274,AH0,1,358.025
219,karuk-2011-12-21-vs-3_32.mat,upi,74,V1,,53.44999999999982,53.44999999999982,UH0,1,834.12
220,karuk-2011-12-21-vs-3_32.mat,upi,74,C,,121.95200000000023,121.95200000000023,P,1,304.428
221,karuk-2011-12-21-vs-3_32.mat,upi,74,V2,,76.1220000000003,76.1220000000003,IH0,1,353.5030000000001
222,karuk-2011-12-21-vs-3_33.mat,upi,75,V1,,68.24099999999999,68.24099999999999,UH0,1,587.057
223,karuk-2011-12-21-vs-3_33.mat,upi,75,C,,97.04699999999978,97.04699999999978,P,1,283.361
224,karuk-2011-12-21-vs-3_33.mat,upi,75,V2,,73.3420000000001,73.3420000000001,IH0,1,329.05300000000005
225,karuk-2011-12-21-vs-3_34.mat,uxi,76,V1,,80.98399999999992,80.98399999999992,UH0,1,299.999
